collection||شعب الإيمان
hadith|1823|سمعت أبا عبد الرحمن السلمي يقول سمعت أبا بكر الرازي يقول سمعت إبراهيم الخواص يقول ليس العلم بكثرة الرواية إنما العالم من اتبع العلم واستعمله واقتدى بالسنن وإن كان قليل العلم
hadith|1824|سمعت أبا عبد الرحمن السلمي يقول سمعت أبا نصر محمد بن أحمد المزكي يقول سمعت عبد الله الرازي يقول دلائل المعرفة العلم والعمل بالعلم والخوف على العلم
hadith|1825|أخبرنا أبو عبد الله الحافظ قال سمعت إسماعيل بن محمد يقول سمعت جدي يقول سمعت علي بن حكيم الأودي يقول قال الفضيل بن عياض العلم علمان علم باللسان وعلم بالقلب فأما العلم بالقلب فذاك العلم النافع وأما العلم باللسان فذاك حجة الله على خلقه
hadith|1826|أخبرنا أحمد بن محمد الماليني أنا أحمد بن محمد أنا أحمد بن محمد بن يعقوب البغدادي قال سمعت أبا بكر محمد بن المنذر التميمي يقول سمعت سهل بن عبد الله يقول 1 ما أعطى أحد شيئا أفضل من علم يسترشد به افتقارا إلى الله عز وجل
hadith|1827|أخبرنا أبو علي الروذباري ثنا أبو بكر محمد بن مهرويه الرازي ثنا محمد بن هاشم الحرماح الطوسي ثنا محمد بن أسلم ثنا أحمد بن اليسع ثنا جعفر بن سليمان عن مالك بن دينار قال إذا طلب العبد العلم ليعمل به كسره علمه وإذا طلب العلم لغير العمل زاده كبرا
hadith|1828|أخبرنا أبو القاسم مجالد البجلي بالكوفة ثنا أبو الحسين مسلم بن محمد بن أحمد بن مسلم التميمي ثنا الحضرمي ثنا سعيد بن عمرو الأشعثي أنا جعفر بن سليمان قال سمعت مالك بن دينار يقول إن القلب إذا لم يكن مصون كما أن البيت إذا لم يسكن خرب
hadith|1829|وقال إذا طلب العبد العلم ليعمل به كسره وإذا طلبه لغير العمل زاده فخرا
hadith|1830|أخبرنا أبو عبد الله الحافظ ثنا أبو العباس الأصم ثنا العباس الدوري ثنا يحيى بن معين ثنا جرير عن فضيل بن غزوان قال قال علي بن الحسين من ضحك ضحكة مج مجة من العلم
hadith|1831|أخبرنا محمد بن الحسين قال سمعت علي بن حمشاذ الصائغ يقول سمعت عبد الله الرازي وسئل أوسألته ما بال الناس يعرفون عيوبهم وعيوب ما هم فيه ولا يتنقلون عن ذلك ولا يرجعون إلى طريق الصواب قال لأنهم اشتغلوا بالمباهاة في العلم ولم يشتغلوا في استعماله واشتغلوا بآداب الظواهر وتركا آداب البواطن فأعمى الله قلوبهم عن الطريق إلى الصواب وقيد جوارحهم عن العبادات
hadith|1832|أخبرنا أبو عبد الرحمن السلمي أنا عبد الله 1 بن عثمان بن جعفر ثنا أحمد بن عبد الله بن سليمان ثنا يوسف بن موسى ثنا بن خبيق قال سمعت إبراهيم البكاء يقول سمعت معروف الكرخي يقول إذا أراد الله بعبد خيرا فتح عليه باب العمل وأغلق عليه باب الجدل وإذا أراد بعبد شرا أغلق عليه باب العمل وفتح عليه باب الجدل
hadith|1833|سمعت السلمي يقول سمعت أبا بكر الرازي يقول سمعت غيلان السمرقندي يقول سمعت أبا بكر الوراق يقول من اكتفى بالكلام من العلم دون الزهد والفقه تزندق ومن اكتفى بالزهد دون الفقه والكلام ابتدع ومن اكتفى بالفقه دون الزهد والورع يفسق ومن تفنن في الأمور كلها تخلص
hadith|1834|أخبرنا أبو عبد الله الحافظ أنا أبو العباس النيسابوري أنا عبد الله بن علي الغزال ثنا علي بن الحسن أنا أبو حمزة عن هشام بن حسان قال مر رجل على الحسن فقالوا هذا فقيه فقال الحسن وتدرون من الفقيه إنما الفقيه العالم في دينه الزاهد في دنياه الدائم على عبادة ربه
hadith|1835|أخبرنا أبو عبد الله أنا أبو عمرو بن السماك ثنا الحسن بن عمرو قال سمعت بشر بن الحارث يقول قال محمد بن نضر الحارثي متى تكون من أهل العلم ومصيرك إلى الآخرة وأنت تعمل على الدنيا
hadith|1836|وبإسناده قال سمعت بشرا يقول ما عقوبة العالم قال حبه الدنيا يملأ ويصم قلبه
hadith|1837|أخبرنا أبو عبد الله الحافظ أنا أبو العباس الصفار أنا عبد الله بن علي الغزال أنا علي بن الحسن بن شقيق ثنا عبد الله بن المبارك عن مالك بن دينار قال سألت الحسن ما عقوبة العالم قال موت القلب قلت وما موت القلب قال طلب الدنيا بعمل الآخرة
hadith|1838|أخبرنا أبو عبد الله الحافظ ومحمد بن موسى قالا ثنا أبو العباس الأصم أنا والعباس بن الوليد بن مزيد أخبرني أبي أنا الأوزاعي قال سمعت بلال بن سعد يقول زاهدكم راغب وعالمكم جاهل وجاهلكم مغتر
hadith|1839|حدثنا عبد الملك بن أبي عثمان الزاهد أنا علي بن يوسف النصيبي بمكة ثنا عبد الله بن محمد المفسر ثنا محمد بن حامد أنا محمد بن المثنى قال سمعت بشر بن الحارث يقول لا ينبغي لأحد أن يذكر شيئا من الحديث في موضع حاجة يكون له من حوائج الدنيا يريد أن يتقرب إليه ولا يذكر العلم في موضع ذكر الدنيا وقد رأيت مشايخا طلبوا العلم للدنيا فافتضحوا وآخرين طلبوه فوضعوه مواضعه وعملوا به وقاموا به فأولئك سلموا ونفعهم الله به
hadith|1840|أخبرنا أبو عبد الرحمن السلمي قال سمعت أبا بكر الرازي يقول سمعت محمد بن الأشعث البيكندي يقول من تكلم في الزهد ووعظ الناس ثم رغب فيما لهم رفع الله حب الآخرة من قلبه
hadith|1841|أخبرنا الفقيه أبو إسحاق إبراهيم بن محمد بن إبراهيم الطوسي ثنا الفقيه أبو الوليد حسان بن محمد قال سمعت محمد بن إسحاق يقول ثنا عبد الله بن الحكم بن أبي زياد القطراني ثنا سيار ثنا جعفر بن سليمان قال سمعت مالكا بن دينار يقول قرأت في التوراة أن العالم إذا لم يعمل بعلمه زالت موعظته من القلوب كما يزل القطر عن الصفا
hadith|1842|سمعت أنا أبو عبد الرحمن السلمي يقول سمعت محمد بن أحمد الفراء يقول قيل لحمدون القصار ما بال كلام السلف أنفع من كلامنا قال لأنهم تكلموا لعز الإسلام ونجاة النفوس ورضا الرحمن ونحن نتكلم لعزة النفس وطلب الدنيا وقول الخلق
hadith|1843|سمعت أبا عبد الرحمن يقول سمعت أبا نصر عبد الله بن علي يقول سمعت الدقي يقول سمعت أبا بكر الفرغاني يقول يحكى عن سهل بن عبد الله قال الفتن ثلاثة فتنة العامة من إضاعة العلم وفتنة الخاصة من الرخص والتأويلات وفتنة أهل المعرفة من أن يلزمهم حق في وقت فيؤخروه إلى وقت ثان
hadith|1844|أخبرنا أبو عبد الرحمن قال سمعت أبا زيد المروزي يقول سمعت إبراهيم بن شيبان يقول من أراد أن يتعطل ويتبطل فليلزم الرخص
hadith|1845|أخبرنا أبو سعد الزاهد ثنا علي بن عبد الله بن جهضم بمكة أخبرنا أبو بكر محمد بن سعيد قال سمعت الجنيد بن محمد يقول ويل للقائلين بالحق العاملين بالباطل كيف خالفت أفعالهم وأقوالهم ادعوا في الدنيا منازل الصديقين فنزلوا في الآخرة منازل المجرمين
hadith|1846|أخبرنا محمد بن عبد الله الحافظ أنا الحسن بن محمد بن إسحاق الإسفرائيني ثنا أبو عثمان الحناط قال سمعت السري يقول سمعت بعض الحكماء يقول ويل للقائلين بالحق العاملين بالباطل الذين قالوا الحسنات وعملوا السيئات كيف 1 قولهم إذا خالفوا أمر الله نزلوا بأعمالهم منازل المجرمين
hadith|1847|أخبرنا محمد بن عبد الله ثنا الحسن ثنا أبو عثمان قال سمعت الحسن بن عيسى مولى بن المبارك يقول سمعت بن المبارك يقول أما الناس العلماء والملوك الزهاد والسفلة الذي يأكل بدينه أموال الناس بالباطل ثم قرأ يا أيها الذين آمنوا إن كثيرا من الأحبار والرهبان ليأكلون أموال الناس بالباطل قال يأكلون الدنيا بالدين قال فبكى فضيل بن عياض بكاء شديد ثم قال كذب من قال أنه لا يأكل بدينه أنا والله آكل بديني
hadith|1848|أخبرنا أبو عبد الله أنا الحسن ثنا أبو عثمان ثنا أحمد بن أبي الحواري قال سمعت إسحاق بن خلف وكان من الخائفين لله قال أحمد بن سلم ما نذاكر العلم إلا بالغفلة عن العبادة
hadith|1849|أخبرنا أبو سعد الماليني أنا أبو عبد الله بشر بن محمد قال ثنا الحسين بن منصور ثنا أبو العباس عبدالسلام بن الوليد ثنا أحمد بن عبد الله بن أبي الحواري حدثني أخي محمد قال قال علي بن الفضيل لأبيه وأبه ما أحلى كلام أصحاب محمد صلى الله عليه وسلم قال يا بني وتدري لما حلا قال لا يا أبه قال لأنهم أرادوا به الله تبارك وتعالى
hadith|1850|أخبرنا أبو علي الروذباري أنا الحسين بن الحسن الطوسي أنا أبو خالد العقيلي ثنا عبد الرحمن بن حماد الثقفي ثنا الأعمش عن إبراهيم قال يطلع قوم من الجنة إلى قوم من النار يقولون ما أدخلكم النار وإنما دخلنا الجنة بتأديبكم وتعليمكم فيقولون إنا كنا 1 نأمركم بالخير ولا نفعله
hadith|1851|أخبرنا أبو عبد الله الحافظ وأبو محمد بن المقرئ قالا ثنا أبو العباس هو الأصم ثنا الخضر ثنا سيار ثنا جعفر قال سمعت مالكا بن دينار قرأ هذه الآية وما أريد أن أخالفكم إلى ما أنهاكم عنه قال فاسمى في القيامة مالك الصادق أو مالك الكاذب
hadith|1852|أخبرنا الحسن بن محمد بن حبيب من أصل حدثني أبو جعفر محمد بن صالح ثنا الحسين بن الفضل ثنا الحكم بن موسى ثنا الفرج بن فضالة عن لقمان قال كان أبو الدرداء يقول إنما أخشى من ربي يوم القيامة أن يدعوني على رؤوس الخلائق فيقول لي يا عويمر فأقول لبيك ربي فيقول لي ما عملت فيما علمت
hadith|1853|أخبرنا أبو زكريا بن أبي إسحاق في آخرين قالوا ثنا أبو العباس الأصم أنا العباس بن الوليد بن مزيد ثنا أبي ثنا الضحاك بن عبد الرحمن قال سمعت بلال بن سعد يقول عباد الرحمن لو قد غفرت لكم خطاياكم الماضية لكان فيما تستقبلون لكم شغلا ولو عملتم بما تعلمون لكنتم عباد الله حقا
hadith|1854|أخبرنا أبو نصر بن قتادة ثنا محمد بن أحمد بن حامد بن العطار ثنا أحمد بن حسن الصوفي ثنا يحيى بن معين ثنا عثمان بن صالح عن عبد الله بن وهب عن عمرو بن الحارث أن رجلا كتب إلى أخ له اعلم أن الحلم لباس العلم فلا تعرض عنه
hadith|1855|قال وحدثنا يحيى ثنا حسن بن رافع عن ضمرة قال الحلم ارفع من العقل لأن الله عز وجل تسمى باسمه
hadith|1856|أخبرنا أبو طاهر الفقيه أنا حاجب بن أحمد ثنا عبد الرحيم بن شبيب ثنا الفضيل بن عطاء عن سعيد بن جبير في قوله تعالى كونوا ربانيين قال الفضيل بن عطاء قال حلما وفقها
hadith|1857|أخبرنا أبو محمد بن يوسف الفقيه أنا أبو بكر محمد بن الحسين الأجري بمكة ثنا علي بن إسحاق بن زاطيا ثنا عبيد الله بن عمر القواريري ثنا حماد بن زيد سمعت أيوب السختياني يقول ينبغي للعالم أن يضع الرماد على رأسه تواضعا لله عز وجل
hadith|1858|أخبرنا محمد بن عبد الله الحافظ أنا عثمان بن أحمد ثنا الحسن بن عمرو قال سمعت بشرا يقول ما أقبح أن يطلب العالم فيقال هو بباب الأمير
hadith|1859|أخبرنا أبو سعد الشعيبي أنا أبو عمرو بن نجيد ثنا أبو جعفر محمد بن موسى الحلواني ثنا أبو بكر الأثرم ثنا عبد الصمد بن زيد قال سمعت الفضيل بن عياض يقول آفة القراء العجب واحذر أبواب الملوك فإنها تزيل النعم فقيل له يا أبا علي كيف تزيل النعم قال الرجل يكون عليه من الله نعمة ليست له إلى خلق حاجة فإذا دخل إلى هؤلاء الملوك فرأى ما بسط الله لهم في الدور والخدم استصغر ما هو فيه ومن ثم تزيل النعم
hadith|1860|أخبرنا أبو عبد الرحمن السلمي قال سمعت عبد الله بن علي يقول سمعت طيفور البسطامي يقول سمعت موسى بن عيسى يقول قال أبي قال أبو يزيد لو نظرتم إلى رجل أعطى من الكرامات حتى يرفع في الهواء فلا تغتروا به حتى تنظروا كيف تجدوه عند الأمر والنهي وحفظ الحدود وأداء الشريعة
hadith|1861|قال وسمعته يقول إذا وقفت بين يدي الله عز وجل فاجعل نفسك كأنك مجوسي تريد أن تقطع الزنار بين يديه
hadith|1862|أخبرنا أبو عبد الله الحافظ قال سمعت أبا سعيد محمد بن محمش يقول سمعت أبا علي الثقفي يقول من أحب ما بلغني عن أبي يزيد البسطامي أنه كان يقول من ترك طلب العلم وقراءة القرآن والتقشف ولزوم الطاعات وحضور الجنائز وادعى هذا الشأن فهو مدعي
hadith|1863|أخبرنا أبو عبد الله الحافظ قال سمعت أبا القاسم إبراهيم بن محمد الصوفي يقول سمعت أبا علي الثقفي يقول سمعت محمد بن الفضل السمرقندي الواعظ يقول كم من جاهل أدركه العلم فافقده وكم من ناسك عمل عمل الجاهلية فأوثقه احضر العلم وإن لم يحضرك النية فإنما يطلب بالعلم النية وإن أول ما يظهر من ورع العبد لسانه وأول ما يظهر من عقله حلمه
hadith|1864|أخبرنا أبو محمد بن يوسف قال سمعت أحمد بن أبي عمران الهروي بمكة قال سمعت محمد بن داود بدمشق ح وأخبرنا أبو سعد الماليني أنا أبو العباس أحمد بن منصور قال سمعت أبا بكر محمد بن داود يقول سمعت أبا بكر الدقاق يقول كنت مارا في تيه بني إسرائيل فخطر 1 بقلبي وقال بن يوسف بخاطري أن علم الحقيقة مباين الشريعة فهتف بي هاتف من تحت شجرة يا أبا بكر كل حقيقة لا تتبعها شريعة فهي كفر
hadith|1865|أخبرنا أبو عبد الرحمن قال سمعت أبا الحسين بن محمد بن موسى يقول سمعت أبا علي الثقفي يقول كان أبو حفص يقول من لم يعرف أفعاله وأمواله في كل وقت بالكتاب والسنة ولم يتهم خواطره فلا تعده في ديوان الرجال
hadith|1866|سمعت السلمي يقول سمعت جدي إسماعيل بن نجيد يقول كل حال لا يكون عن مجة علم وإن جل فإن ضرره على صاحبه أكثر من نفعه
hadith|1867|سمعت أبا سعد عبد الملك بن أبي عثمان الزاهد يقول سمعت أحمد بن أبي عمران بمكة يقول سمعت فرح بن عبد الله النصيبي يقول سمعت أبا جعفر المصيصي يقول سمعت سهل بن عبد الله يقول أحضر السواد على البياض فما أحد ترك الظواهر إلى نزح إلى الزندقة
hadith|1868|أخبرنا أبو سعد الماليني ثنا أبو محمد الحسن بن أحمد المؤدب بتستر قال سمعت علي بن الحسين بن إسحاق يقول سمعت سهل بن عبد الله بن يونس الزاهد يقول من أراد الدنيا والآخرة فليكتب الحديث فإن فيه منفعة الدنيا والآخرة
hadith|1869|سمعت أبا سعد الزاهد يقول أنا أحمد بن أبي عمران قال سمعت أبا العباس البردعي يحكي عن الدقاق قال قال أبو بكر البصري دخلت على سهل بن عبد الله ومعي المحبرة فقال لي تكتب قلت نعم قال اكتب فإن استطعت أن تلقى الله عز وجل ومعك محبرة فافعل
hadith|1870|سمعت أبا الحسن علي بن أحمد بن علي العلوي يقول سمعت أبا عبد الله محمد بن عبد الله السراري 1 يقول نظر أبو عبد الله بن حصيف يوما إلى بن مكتوم وجماعة من أصحابه يكتبون شيئا فقال ما هذا فقالوا نكتب كذا وكذا فقال اشتغلوا بتعلم شيء ولا يغرنكم كلام الصوفية فإني كنت أجي بحبرتي في جيب موقعتي والكاغد في حجزة سراويلي وكنت أذهب حفيا إلى أهل العلم فإذا علموا بي خاصموني وقالوا لا يصلح ثم احتاجوا إلي بعد ذلك
hadith|1871|أخبرنا أبو سعد الزاهد قال سمعت علي بن عبد الله بن جهضم يقول سمعت محمد بن علي يقول سمعت أبا علي الروذباري يقول كان الجنيد بن محمد ترك السماع وشغله العلم والعمل وكان إذا فرغ من أوراده وضع رأسه بين ركبتيه فلا يشيلها يعني حتى يجتمع عليه أصحابه فيسألوه بالعلم والمسائل
hadith|1872|أخبرنا أبو الحسين بن بشران أنا عثمان بن أحمد السماك ثنا الحسن بن عمرو قال سمعت بشرا يقول لا أعلم شيئا أفضل منه إذا أريد به الله عز وجل يعني طلب العلم
hadith|1873|أخبرنا أبو محمد عبد الله بن يوسف أنا أبو الطيب المظفر بن سهل الخليلي بمكة قال ثنا غيلان قال سمعت سري السقطي يقول من تعبد وكتب خشيت عليه ومن كتب ثم تعبد رجوت له
hadith|1874|أخبرنا أبو عبد الله الحافظ ثنا علي بن عيسى الحيري ثنا أحمد بن سلمة قال سمعت أحمد بن سعيد الدارمي يقول سمعت من علي المديني كلمة اعجبتني قرأ علينا حديث الغار ثم قال إنما نقل إلينا هذه الأحاديث لنستعملها لا لنتعجب منها
hadith|1875|سمعت أبا نصر بن قتادة سمعت أبا عمرو بن مطر يقول سمعت أبا خليفة يقول سمعت أبا عمر الحوضي يقول سمعت سعيد بن الحجاج يقول بالليل تكتبون وبالنهار تسمعون فمتى تعملون وأما الحكاية التي
hadith|1876|أخبرنا أبو عبد الله بن الحافظ أخبرني جعفر بن محمد بن نصير الخلدي قال حدثني الجنيد بن محمد قال سمعت السري بن المغلس وقد ذكر له شيء من الحديث فقال ليس من زاد القبر
hadith|1877|أخبرنا أبو عبد الله الحافظ أنا أبو الحسيني عبيد الله بن الحريري ببغداد ثنا سهل بن أبي سهل الحافظ الواسطي ثنا أبو موسى قال سمعت عبد الرحمن بن مهدي يقول ما هو عندي إلا عبث كما يعبث الإنسان بالكلاب والحمام يعني الحديث قال البيهقي رضي الله عنه وارجاه فهذا فيمن لا يكون مراده من كتبه الحديث معرفة أحكام الله تعالى وما فيه من المواعظ ثم استعمالها والاتصاف بها وإنما يكون قصده من كتبته الإكتساب بها والمفاخرة بفضلها على أقرانه فلا يكون من زاد الآخرة لأن العلم إنما هو الاستعمال وليتقي الله وليطيعه به لا ليتخذه حرفة ويكتسب به الرفعة في الدنيا
hadith|1878|أخبرنا أبو عبد الرحمن السلمي قال سمعت أبا نصر الأصبهاني يقول سمعت محمد بن عيسى يقول قال أبو سعيد الخراز العلم ما استعملك واليقين ما حملك
hadith|1879|أخبرنا أبو سعد الماليني قال سمعت أبا بكر أحمد بن يوسف عبر الشبلي على غلام وقدامه قارورة يكتب الحديث قال يا غلام إن شغلك بها يشغلك عن المراد بها فقال له الغلام يا شيخ أفلا يكتب حديث رسول الله صلى الله عليه وسلم فقال إن كنت إذا وضعت القلم ورفعته كان وجودك ذكر الحق تبارك وتعالى فاكتب وإلا فهو عليك
hadith|1880|أخبرنا أبو سعد الماليني قال سمعت أبا بكر محمد بن نصر بن جعفر الروياني الصوفي يقول سمعت أبا بكر الشبلي يقول كان بدء أمري أني نوديت يا أبا بكر ليس لهذا أردناك ولا بهذا أمرناك فتركت خدمة المعتضد ونظرت في الناسخ والمنسوخ والتأويل والتفسير والتحليل والتحريم وسمعت الحديث والفقه وكتاب المبتدأ وغير ذلك ثم بدت علي حقيقة أذهبت عني ما سوى الله فإذا الله الله
hadith|1881|حدثنا أبو حازم الحافظ أخبرني أبو منصور محمد بن أحمد الأزهري قال سمعت محمد بن إسحاق السعدي يقول سمعت علي بن خشرم يقول كثيرا ما بن عيينة يقول توفيق قليل خير من علم كثير 1
hadith|1882|أخبرنا أبو طاهر الفقيه أنا أبو عثمان البصري ثنا أبو أحمد الفراء ثنا سليمان بن حرب ثنا حماد بن أبي التياح قال قال مطرف أتى على الناس زمان خيرهم في دينهم المتسارع وسيأتي على الناس زمان خيرهم في دينهم المتأني قال أبو أحمد سألت علي بن عثام عن تفسير هذا الحديث فقال كانوا مع رسول الله صلى الله عليه وسلم وأصحابه إذا أمروا بالشيء تسارعوا إليه وأما اليوم فينبغي للمؤمن أن يتبين فلا يقدم إلا على ما يعرف
hadith|1883|أخبرنا أبو عبد الله الحافظ ثنا أبو العباس بن يعقوب ثنا العباس بن الوليد أخبرني أبي قال سمعت بن جابر يحدث عن رجل يقال له سعدان 2 أبي الحارث فسأله عن الحسن بن أبي الحسن قال له كيف عقله فأخبره فقال بن منبه أما تتحدث أو تجد في الكتاب أنه ما أتى الله عبدا علما فعمل به في سبيل الله فيسلبه عقله حتى يقبضه إليه قال العباس قال أبي ما أحصي كم سألني الأوزاعي عن حديث البصري يقول ياوليد حدثني بحديث البصري عن بن منبه
hadith|1884|حدثنا أبو سعد الزاهد ثنا أبو سعيد إسماعيل بن أحمد التاجر أنا عبد الله بن محمد المنيعي ثنا محمود بن غيلان المروزي ثنا وكيع قال سمعت إسماعيل بن إبراهيم بن مجمع بن حارثة يقول كنا نستعين على حفظ الحديث بالعمل به
hadith|1885|قال وقال الحسن بن صالح كنا نستعين على طلبه بالصوم
hadith|1886|أخبرنا أبو القاسم عبد العزيز بن محمد بن شبان العطار ببغداد ثنا أبو بكر الجعابي الحافظ ثنا محمد بن عبد الله بن عبدالسلام ثنا محمد بن عبد الرحمن بن الأشعث ثنا أبو مسهر عن سعيد بن عبد العزيز قال إذا كان علم الرجل حجازيا وحكمته عراقيا وطاعته شامية فناهيك به
hadith|1887|أخبرنا أبو عبد الله الحافظ ثنا محمد بن صالح بن هانى ثنا القاسم بن خالد بن قطن المروزي ثنا أبو الربيع الزهراني ثنا عبدالقاهر بن شعيب بن الحبحاب ثنا هشام بن حسان عن المحسن في قوله اللهم ربنا آتنا في الدنيا حسنة وفي الآخرة حسنة قال في الدنيا العلم والعبادة وفي الآخرة الجنة
hadith|1888|أخبرنا أبو سعيد عبد الرحمن بن محمد بن شبانه الشاهد بهمدان ثنا أبو حاتم أحمد بن عبد الله البستي ثنا إسحاق بن إبراهيم البستي ثنا الحسن بن علي الحلواني ثنا عبد الله بن نمير الهمداني الكوفي ثنا معاوية النضري عن نهشل عن الضحاك عن الأسود عن عبد الله بن مسعود قال لو أن أهل العلم صانوا العلم ووضعوه عند أهله لسادوا به أهل أعيانهم أو قال أهل زمانهم لكن بذلوه لأهل الدنيا لينالوا من دنياهم فهانوا على أهلها سمعت نبيكم صلى الله عليه وسلم يقول من جعل الهم هما واحدا هم آخرته كفاه الله عز وجل ما همه من أمر دنياه ومن تشعبت به الهموم لأحوال الدنيا لم يبال الله في أي أوديتها هلك وكذلك رواه محمد بن عبد الله بن نمير عن أبيه
hadith|1889|سمعت أبا عبد الرحمن يقول سمعت محمد بن عباس الضبي يقول سمعت أبا بكر بن 1 يقول ثنا مجزاة بن محمد ثنا الحسن بن عبد الرحمن البغدادي ثنا يحيى بن اليمان عن سفيان قال العالم طبيب الدين والدراهم داء الدين فإذا اجتر الطبيب الداء إلي نفسه فمتى يداوي غيره
hadith|1890|أخبرنا أبو سعد الماليني ثنا أبو بكر محمد بن عبد الله الرازي يقول سمعت أبا عمر البيكندي يقول سمعت أبا عبد الله المغربي يقول من أحب الدنيا فلا ينصحك ومن أحب الآخرة فلا يصحبك لا تبرح تصبح من قد دان نفسه
hadith|1891|أخبرنا أبو الحسين بن بشران أنا أبو عمرو عثمان بن أحمد بن السماك قال وقال المروزي حدثني عبد الصمد بن محمد قال بشر بن الحارث العالم طبيب الدين والدراهم داء الدين فإذا كان الطبيب يجر إلى نفسه الداء فمتى يداوي نفسه وقال ليس يعد شهداء الخلق إلا العلماء أخزلته الدنيا وذهب أهل الخير
hadith|1892|أخبرنا أبو الحسين أنا أبو عمرو قال قال المروروذي سمعت عباس العنبري يقول سمعت بشر بن الحارث يقول ينبغي للرجل ينظر خيره من أين يعود مسكنه الذي يسكنه أهله من أي شيء هو ثم يتكلم
hadith|1893|أخبرنا أبو الحسين أنا أبو عمرو بن السماك ثنا الحسن بن عمرو ثنا الفضيل قال سمعت بشرا يقول إذا رأيت من همه 1 الأطعمة والطيب والتخلف إلى أبواب الأمراء ومخالطتهم فابغضهم في الله ودعهم ونهى عن مخالطتهم وقال قال رسول الله صلى الله عليه وسلم أعوذ بك من علم لا ينتفع به وعمل لا يتقبل وقلب لا يخشع وبطن لا تشبع
hadith|1894|أخبرنا أبو الحسين بن بشران أنا أبو عمرو بن السماك ثنا الحسن بن عمرو قال سمعت بشرا يقول أوحى الله عز وجل إلى داود عليه السلام يا داود لا تتخذ بيني وبينك عاملا مفتونا فيصدك بشكره عن طريق محبتي أولئك قطاع طريق عبادي
hadith|1895|سمعت أبا عبد الله محمد بن إبراهيم الكرماني يقول سمعت أبا عبد الله محمد بن عبد الله الشيرازي الصوفي يقول سمعت أبا زرعة أحمد بن محمد بن الفضل الطبري يقول سمعت جعفر الخلدي يقول سمعت الجنيد يقول سمعت الحارث المحاسبي يقول لا يرد القيامة أكثر حسرة من رجلين عالم لم ينتفع بعلمه وزاهدا أكل الدنيا بدينه
hadith|1896|أخبرنا أبو عبد الله الحافظ ثنا إسماعيل بن محمد بن الفضل ثنا القاسم بن عبد الله الفرغاني ثنا قبيصة بن عقبة عن سفيان قال كان يقال تعوذوا بالله من فتنة العابد الجاهل وفتنة العالم الفاجر فإن فتنتهما فتنة لكل مفتون
hadith|1897|أخبرنا أبو عبد الله الحافظ ثنا علي بن حمشاذ العدل ثنا الحسن بن علي بن زياد ثنا سعيد بن سليمان ثنا سنان بن هارون البرجمي ثنا محمد بن بسر أو نسر الشك من سعيد قال قال الشعبي اتقوا الفاجر من العلماء والجاهل من المتعبدين فإنهما آفة كل مفتون
hadith|1898|أنشدنا أبو عبد الرحمن السلمي أنشدني عبد الله بن الحسين الفارسي أنشدنا أبو طالب القطان أنشدنا أبو بكر بن داود لنفسه % من غص دوائي بشرب الماء غصته % فكيف يصنع من قد غص بالماء
hadith|1899|أخبرنا أبو عبد الله الحافظ أنا أبو العباس محمد بن يعقوب عن يحيى بن أبي طالب نا عبد الوهاب بن عطاء أنا أبو سلمة عثمان عن منصور بن زاذان نبئت أن بعض من يلقى في النار ليتاذى أهلها بريحه فيقال له ويلك ما كنت تعمل أما يكفينا ما نحن فيه من الشر حتى ابتلينا بك ونتن رائحتك قال فيقول إني كنت عالما فلم انتفع بعلمي
hadith|1900|أخبرنا أبو الحسين بن بشران ثنا إسماعيل بن محمد الصفار ثنا زكريا بن يحيى بن أسد المروزي أبو يحيى ثنا معروف الكرخي قال بكر بن خنيس إن في جهنم لواد تتعوذ جهنم من ذلك الوادي كل يوم سبع مرات وإن في الواد لجبا يتعوذ الوادي وجهنم من ذلك الجب كل يوم سبع مرات وإن في الجب لحية يتعوذ الجب والوادي وجهنم من تلك الحية كل يوم سبع مرات تبدأ بفسقة حملة القرآن ليقولون أي رب بدىء بنا قبل عبدة الأوثان قيل لهم ليس من يعلم كمن لا يعلم
hadith|1901|أخبرنا أبو عبد الله الحافظ أنا الحسن بن محمد بن إسحاق الاسفرائيني ثنا أبو عثمان سعيد بن عثمان قال سمعت السري بن المغلس يقول سمعت بعض الحكماء يقول ويل للقائلين بالحق العاملين بالباطل الذين قالوا الحسنات وعملوا السيئات كيف يشنأهم قولهم إذا خالفوا أمر الله عز وجل فنزلوا بأعمالهم منازل المجرمين
hadith|1902|أخبرنا أبو محمد عبد الله بن يوسف إملاء أنا أبو بكر عثمان بن محمد البغدادي صاحب الكناني بمكة ثنا أبو عثمان الكرحي ثنا عبد الرحمن بن عمر دسته قال قال عبد الرحمن بن مهدي كنت أجلس في المسجد الجامع يوم الجمعة فيجلس إلي الناس فإذا أكثروا فرحت وإذا قلوا حزنت فسألت بشر بن منصور فقال هذا مجلس شر فلا تعد إليه فما عدت إليه
hadith|1903|أخبرنا أبو حازم الحافظ ثنا أبو بكر الإسماعيلي ثنا إبراهيم بن هاشم البغوي ثنا هدبة ثنا أمية بن خالد ثنا شعبة قال ما رأيت أحدا يطلب الحديث أقول إنه يريد به الله إلا هشاما صاحب الدستوائي فكان يقول أيا ليت أنا ننجوا من هذا الحديث كفافا لا علينا ولا لنا قال شعبة فإذا قال هشام هذا فكيف نحن
